Gene,LogFC
LRRC7,-3.727993039
KCNH4,-3.727993039
TMEM108,-3.727993039
LOC100507250,-3.720635491
RD3,-3.716966908
FGF14,-3.716966908
LOC100128288,-1.102458552
CLDN19,-3.693680346
TMEM121,-3.693680346
TMEM59L,-3.693680346
KIF5C,-3.69005657
FDCSP,-3.69005657
RNF5P1,-3.69005657
ARSE,-1.830830417
KLHDC1,-1.571611211
TTC36,-3.667018843
JAM2,-3.667018843
PKHD1,-3.667018843
VASH2,-3.663439593
KRT32,-3.663439593
TMEM100,-3.663439593
TMPRSS3,-3.663439593
PKDREJ,-3.663439593
RAET1K,-3.663439593
LOC646626,-1.022169835
PPT2.EGFL8,-2.106481523
KDM4E,-3.637115364
LINC00398,-3.637115364
EFCC1,-3.637115364
ENPEP,-3.637115364
SPAG11B,-3.637115364
RORB,-3.637115364
CXorf31,-3.637115364
TCEAL5,-3.637115364
GNRHR2,-1.018602422
CCNO,-1.016332997
TAT,-2.002934063
ABCC11,-1.111721307
LOC100288911,-1.067581011
DAPL1,-2.03980587
LOC100133612,-1.911949516
LOH12CR2,-1.594549759
ACRBP,-1.328242519
MIR503,-2.677794248
ABP1,-2.29711261
DLG5.AS1,-1.541413902
GADD45G,-1.863867415
MAP2K6,-1.183442403
TPTE2P6,-2.297009395
FAM181B,-1.049445359
PTCD1,-2.697861001
TIMP4,-1.561546548
RCSD1,-1.520410788
DPF3,-1.330771138
TRAM1L1,-1.360160655
SLC10A5,-2.401300172
ZNF474,-2.66882813
FAM167B,-1.920601384
CATSPERG,-1.024402979
GPR19,-2.809109388
SNORD116.13,-2.85647967
LINC00239,-2.81354558
SH3GL3,-1.209502875
C1orf180,-2.682480152
FMO3,-1.718978392
SPOCK3,-1.321282763
STK32B,-2.169978894
C8orf76,-1.57808585
MIR29B2,-2.362473214
GAS5.AS1,-1.930226459
FGF14.AS2,-1.854102221
TNFSF13B,-1.399255393
LOC256880,-2.727077372
LOC100133286,-1.671604303
TRHDE,-2.582894564
LOC100289495,-1.109235501
ZNF404,-1.079758362
ASPA,-2.644890628
MGC39372,-1.826620226
SULT1C2,-1.933352225
FGF18,-1.822284608
MIR30C1,-3.367925307
ZNF32.AS1,-3.367925307
HOXC10,-3.367925307
KL,-3.367925307
ADAD2,-3.367925307
FLJ43681,-3.367925307
KLK4,-3.367925307
CYP1B1.AS1,-3.367925307
INHBB,-3.367925307
PLA1A,-3.367925307
MTMR7,-3.367925307
ARC,-3.367925307
BGN,-3.367925307
CLCNKB,-3.36408767
LINC00277,-3.36408767
HBA1,-3.36408767
HLF,-3.36408767
VIT,-3.36408767
FBLN7,-3.36408767
TUBB1,-3.36408767
SLC26A1,-3.36408767
TMEM200A,-3.36408767
RHD,-3.360257951
CTAGE7P,-3.360257951
SLC43A1,-3.360257951
LOC100131626,-3.360257951
ZNF705A,-3.360257951
CHRNG,-3.360257951
CD247,-3.356436128
MAGEL2,-3.356436128
MIR631,-3.356436128
UPP2,-3.356436128
HTR2B,-3.356436128
UMODL1,-3.356436128
GADL1,-3.356436128
DNASE1L3,-3.356436128
JAZF1.AS1,-3.356436128
GRPR,-3.356436128
RAB19,-2.730739804
ARHGEF26.AS1,-2.55470353
NTN5,-1.657447458
SNORD74,-1.223954139
NEK10,-1.143501055
PKD1L2,-1.275778636
ALOX15,-1.689286526
HFM1,-3.335490607
KNDC1,-3.335490607
MKRN9P,-3.335490607
CPB2,-3.335490607
FAM47E,-3.335490607
TRIML1,-3.335490607
PABPC5,-3.335490607
MIR3613,-3.331715055
IL21R.AS1,-3.331715055
SLC4A1,-3.331715055
C20orf203,-3.331715055
BET3L,-3.331715055
ADAMTS3,-1.59008558
FAM86HP,-1.062571152
C2orf71,-3.327947271
MIR4786,-3.327947271
SLCO1B3,-1.554021107
MYOZ1,-3.303541331
HTR3A,-3.303541331
CYP2A6,-3.303541331
CNBD2,-3.303541331
HIST1H2AH,-3.303541331
CELP,-3.303541331
HPSE2,-3.299826876
MESP1,-3.299826876
DYNAP,-3.299826876
TUBB4A,-3.299826876
APOB,-3.299826876
CCR3,-2.560723296
ALDH1A2,-2.264520984
C18orf56,-1.352752284
KIAA1239,-1.180833264
MIR137HG,-3.272071293
ZNF32.AS3,-3.272071293
HABP2,-3.272071293
PRLHR,-3.272071293
ACY3,-3.272071293
HOXC.AS5,-3.272071293
RNASE8,-3.272071293
SNORD116.15,-3.272071293
PLA2G4D,-3.272071293
GPR97,-3.272071293
MIR4720,-3.272071293
LOC100287072,-3.272071293
NOL4,-3.272071293
BEST2,-3.272071293
HIF3A,-3.272071293
LOC401134,-3.272071293
PSD2,-3.272071293
PCDHA5,-3.272071293
RASGEF1C,-3.272071293
PI16,-3.272071293
MUC12,-3.272071293
MIR593,-3.272071293
MIRLET7D,-3.272071293
OR1Q1,-3.272071293
DKFZp686D0853,-3.272071293
PAK7,-1.220120031
ATP1A3,-1.017992861
FLJ11235,-1.004620501
CD14,-1.331573238
TSC22D1.AS1,-1.227412007
SLC11A1,-1.402163028
GLI2,-1.13653269
BAAT,-1.667577164
SSC5D,-1.90365549
KRT74,-1.497221664
NGEF,-1.010832933
CASS4,-1.022257705
KCNRG,-2.476683804
CAMP,-2.458878257
TEX21P,-2.438580298
LAG3,-1.606919021
MIR296,-2.476827256
ASIC4,-2.526276985
ATP6V1G2,-1.392913931
CDH19,-2.133328623
SNORD57,-2.174522528
TPGS1,-1.418286945
FCGBP,-1.906532753
APC2,-1.132392982
TTC25,-1.367680137
CCDC158,-1.500990671
CETN4P,-2.426577351
LOC574538,-2.244378486
SGK2,-1.893691991
LOC100287225,-1.308979043
CAPN9,-1.739625584
SPINK7,-1.607297069
ALS2CR12,-1.289191697
LOC100216479,-2.397704171
C2orf82,-1.650880208
ARHGAP20,-1.586874408
RPGRIP1,-2.433525267
VPS37D,-1.00690989
LOC644554,-1.352243036
GYPC,-1.160393119
JMJD1C.AS1,-1.252562126
FLJ35390,-1.275679554
