Gene,LogFC
LTC4S,4.157620479
C8orf44,2.393360363
GNAS-AS1,3.178101279
MBD3,3.612225273
KRTAP23-1,6.898514897
VTRNA2-1,6.898912856
C10orf54,1.75326396
PRPSAP1,1.629584635
WSCD1,4.077361252
TOP1MT,2.108600038
IL6,4.699107455
GLRA2,4.581508353
KRTAP5-5,5.366445447
SNORA11D,5.533142171
LSP1P3,6.545988921
EFEMP2,4.156196536
LINC00116,2.395464361
CDIPT,1.751201346
SLC25A33,3.28957785
FAM175B,1.734647302
MICA,4.753655514
WDPCP,2.52185267
PCDHB1,3.816119344
DGCR5,2.035216735
SNX3,3.663109609
LOC284751,2.404233884
GAGE1,2.51449362
SPP2,6.650019611
FAM73B,2.591433627
IGFLR1,2.504886462
RILP,2.247504541
KRTAP4-2,6.752710291
SEMA6B,3.245474627
C10orf129,4.372757156
MIR300,6.725726884
FCN2,5.975685443
RNF125,2.572637919
MFNG,2.04938551
LOC727915,3.475451829
ANP32AP1,2.499264848
GRIA4,6.582215607
CHODL-AS1,5.000439044
ALPK2,6.479892909
MIR4450,3.840883141
MIR1251,4.227362571
HLA-DQB2,3.407847486
PSG1,3.160577382
RND2,4.425158937
RHOG,2.316665554
OR56B4,3.553983549
LOC284632,6.077846261
ZDBF2,2.561876802
NME5,5.012950412
WNT8A,3.220299155
EIF4E3,1.568003389
OR2C3,5.325085278
OR1M1,4.17320521
GRIN3A,4.136765695
MIR548AS,6.614962957
GPR3,3.779157854
LOC283089,3.7716018
ANKRD54,4.618236822
KIAA0125,6.613428539
ZMAT1,3.176202097
MIR548A3,5.418954719
MIR4770,3.041784409
BIRC3,2.290588097
GABRB3,3.332914225
FAM86B1,1.764276309
PKDREJ,4.213150754
KIAA1324L,5.221565626
ITGB8,4.514017751
LDLRAD2,2.366786767
NPHS1,6.272485064
EMILIN2,3.526993936
FGF14,4.329662831
GZF1,2.073852114
FAM124B,5.884108997
SYBU,3.465474206
OR4K14,6.538146988
C17orf51,2.904599532
KCNQ1DN,4.188446842
SRL,2.305019065
ABHD14A,1.807906117
CACNA1C-IT3,4.505319236
LINC00558,3.653121405
SLC7A5P2,1.362303773
BTBD1,3.854576033
LINC00115,2.209586285
SOGA2,1.626615929
SLC39A1,2.241324823
IL11RA,2.418585662
RGAG1,4.746981121
SOX3,3.651980608
HMHB1,3.759298122
ITGA4,3.087260187
SNORA46,4.650295119
SSTR4,6.083075907
LOC100128822,2.480449682
GABRA5,3.615365892
TMEM150C,2.77840069
PURA,2.921117821
ART4,5.30634225
FUT9,3.61031101
ZNF862,1.740623182
TEX14,3.944642654
C2orf69,1.862271719
AKR1CL1,1.913147329
MIR4468,6.400979006
DCDC1,3.671792771
CPNE9,5.902448319
SATL1,3.581782033
PCBP3,3.655033599
LILRB4,2.705076353
TMCO5A,5.061362421
LOC100287015,2.063620792
LMCD1,3.670140336
LRRC14B,4.367093729
FAM19A5,1.789523381
FKBPL,2.503458624
PRR25,4.5065326
CT45A3,2.353483831
MATN2,2.345413278
CPSF3,2.137610651
CDH10,5.726037898
CDK12,5.510987219
KAT8,1.937423719
TEKT4,4.148165204
PHOX2A,3.111086812
TLE4,4.067282461
RNF219,2.68424085
LEFTY2,3.02505014
TASP1,5.266256059
LOC100507300,3.101739112
TSPY2,5.318599554
LOC100132832,2.167197031
CTRC,6.255170014
PITPNM2,2.089145387
LOC401109,3.730365854
MMRN1,3.751110662
MIR4639,3.403862268
RFPL3-AS1,2.34101707
UBN2,2.307865707
FLJ41278,3.422586776
KRT85,3.71135993
OR2T8,6.051942098
SNORA60,3.231976321
SLC4A4,2.780236515
RNF126P1,3.576790987
PDLIM2,1.468569024
PARG,2.808992069
ATG2A,4.219503816
CC2D1A,3.698365065
DCAF5,1.720428625
LOC285965,1.507153637
GUF1,5.397144813
NPB,2.846076675
PCDHGC4,4.206297638
LOC100506733,3.475700837
IRAK1BP1,2.311103966
CLEC18B,3.364343616
FEV,6.115725248
MIAT,1.803603017
SSX4,4.325485769
AP5B1,2.1265368
CECR3,3.356507796
RAD21L1,4.407863686
MLC1,2.974046059
FCHSD2,2.351549439
MBOAT1,1.615171047
ZSWIM3,1.870557077
NLGN4Y-AS1,4.396058743
TMPRSS11E,5.073797211
MIR3936,4.016890591
LOC100506388,4.533165517
